blocks_1,0.10
blocks_3,0.10
blocks_2,0.12
blocks_4,0.16
blocks_5,0.16
blocks_6,0.16
blocks_7,0.19
depots_1,0.22
blocks_8,0.23
gripper_1,0.28
blocks_9,0.35
depots_2,0.75
blocks_10,1.02
blocks_11,1.71
blocks_12,1.72
gripper_2,2.21
blocks_15,4.26
blocks_13,5.34
blocks_14,7.71
problem,time
